Workload,daxpy_k_BARCELONA,dgemm_kernel_BARCELONA,dgemv_n_BARCELONA,dgemv_t_BARCELONA,_aligned_strided_to_contig_size8,cblas_daxpy,cblas_ddot,dgemm_oncopy_BARCELONA,pairwise_sum_DOUBLE,sse2_binary_scalar2_divide_DOUBLE,__pyx_pf_7sklearn_12linear_model_8sag_fast_2sag.isra.15,dgemm_otcopy_BARCELONA,sse2_binary_divide_DOUBLE,DOUBLE_add,__ieee754_exp_sse2,__ieee754_log_sse2,__pyx_f_7sklearn_5utils_11seq_dataset_17SequentialDataset_random,l2r_lr_fun::XTv,l2r_lr_fun::Xv,solve_l2r_lr_dual,train_one,transpose,Solver_MCSVM_CS::Solve,l2r_l2_svc_fun::subXTv,l2r_l2_svc_fun::subXv,solve_l2r_l1l2_svc,expm1,svm::Cache::swap_index,svm::Kernel::dot,svm::Kernel::k_function,svm::Kernel::kernel_poly,svm::Kernel::kernel_rbf,svm::Kernel::kernel_sigmoid,svm::SVC_Q::get_Q,svm::Solver::Solve,svm::Solver::select_working_set,tanh,__exp1,__ieee754_pow_sse2,__pyx_f_7sklearn_9neighbors_12dist_metrics_17ManhattanDistance_dist,__pyx_f_7sklearn_9neighbors_7kd_tree_10BinaryTree__recursive_build,__pyx_f_7sklearn_9neighbors_9ball_tree_10BinaryTree__recursive_build,pow
logistic29,,15.1625857143,,,,,,12.2869285714,,,,13.9975714286,,,14.5710928571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logistic65,,,,,,,,,,,79.0770142857,,,,5.15167142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linearsvc32,,,,,,,,,,,,,,,,,,,,,,,,,,96.2853416667,,,,,,,,,,,,,,,,,
linearsvc16,,,,,,,,,,,,,,,,,,,,,,,92.8399625,,,,,,,,,,,,,,,,,,,,
linearsvc8,,,,,,,,,,,,,,,,,,,,,96.7434,,,,,,,,,,,,,,,,,,,,,,
linearsvc12,,,,,,,,,,,,,,,,,,,,,80.8949333333,8.74426666667,,,,,,,,,,,,,,,,,,,,,
linearsvc3,,,,,,,,,,,,,,,,,,,,,,,,46.5646,44.56725,,,,,,,,,,,,,,,,,,
svc3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3471166667,,,,,,12.7020833333,64.1182166667,,,,,,,
svc768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7099875,,,,,7.7196125,,,,,,,,,
svc512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2848642857,,,,,,,,,,,,,,
svc2560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.12985,,,,,,,19.7878,,,,,,,
svc2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4578,,5.658,,,,,23.3964666667,,,,,,,
svc640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6319125,,8.418925,,,,,,,,,,,,
svc3712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3726,,5.5992,,,,5.6039,32.2123,,,,,,,
svc624,,,,,,,,,,,,,,,6.1392,,,,,,,,,,,,,,61.2166,13.32415,,7.2695,,,,,,,,,,,
svc560,,,,,,,,,,,,,,,6.68559,,,,,,,,,,,,,,74.39191,,,9.14945,,,,,,,,,,,
svc576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5147,14.17065,,,,,,,,,,,,,
svc526,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13928181818,,61.7155272727,,,,6.19786363636,,,,6.15304545455,,,,,,
svc527,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8105,6.1099,66.9316,,,,6.0278,,,,5.7759,,,,,,
knc64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9863071429,
knc48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.642075,39.16955,,,,
knc72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83699,,62.73999,
knc112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3327714286,46.6471714286,,,10.2628428571,
knc116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2443,45.3196,,,7.4261,5.6123
knc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7427916667,,
knc0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knc1,,,,,,,,,14.9499444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
